YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,T2M,RH2M,WS2M,country,UV_B_W_m2_280_4000,UV_A_W_m2_280_4000,Blue_W_m2_280_4000,Green_W_m2_280_4000,Red_W_m2_280_4000,FarRed_W_m2_280_4000,NIR_W_m2_280_4000,SW_IR_W_m2_280_4000,IR_Tail_W_m2_280_4000,crop,m49_code,Unit,yield_t_ha
2020,1,3,15,0.02,0.05,0.03,8.74,95.07,4.92,Belgium,1.230823302296e-05,0.0008970259630741,0.0027596970607325,0.0029899077701129,0.0027581101921269,0.0011759258179289,0.0053597685752435,0.0037586322447466,0.0001550656477212,Tomatoes,'056,kg/ha,502419.4
2020,1,3,16,0.0,0.0,0.0,7.66,95.31,4.57,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,3,17,0.0,0.0,0.0,6.17,95.75,4.19,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,3,18,0.0,0.0,0.0,5.02,96.86,3.25,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,3,19,0.0,0.0,0.0,4.5,95.4,3.07,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,3,20,0.0,0.0,0.0,3.87,94.79,2.64,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,3,21,0.0,0.0,0.0,3.13,95.08,2.14,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,3,22,0.0,0.0,0.0,2.22,96.09,1.85,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,3,23,0.0,0.0,0.0,1.34,97.81,1.75,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,4,0,0.0,0.0,0.0,0.79,98.8,1.89,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,4,1,0.0,0.0,0.0,0.6,99.95,2.2,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,4,2,0.0,0.0,0.0,0.85,100.0,2.64,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,4,3,0.0,0.0,0.0,1.22,100.0,3.09,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,4,4,0.0,0.0,0.0,1.68,98.86,3.42,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,4,5,0.0,0.0,0.0,1.63,98.79,3.43,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,4,6,0.0,0.0,0.0,1.73,97.87,3.8,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,4,7,0.0,0.0,0.0,1.64,98.04,3.84,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,4,8,0.14,0.19,0.11,2.0,96.26,4.16,Belgium,8.615763116072e-05,0.0062791817415188,0.0193178794251276,0.0209293543907903,0.0193067713448884,0.0082314807255027,0.0375183800267046,0.0263104257132262,0.0010854595340484,Tomatoes,'056,kg/ha,502419.4
2020,1,4,9,0.41,0.53,0.24,3.27,92.79,4.31,Belgium,0.0002523187769706,0.0183890322430195,0.0565737897450166,0.0612931092873146,0.056541258938602,0.0241064792675438,0.1098752557924921,0.0770519610173053,0.0031788457782846,Tomatoes,'056,kg/ha,502419.4
2020,1,4,10,0.67,0.8,0.31,4.66,89.49,4.26,Belgium,0.0004123258062691,0.030050369762983,0.0924498515345393,0.1001619102987825,0.092396691436252,0.0393935149006204,0.1795522472706578,0.1259141801990111,0.0051946991986602,Tomatoes,'056,kg/ha,502419.4
2020,1,4,11,0.67,0.93,0.33,6.35,84.64,4.78,Belgium,0.0004123258062691,0.030050369762983,0.0924498515345393,0.1001619102987825,0.092396691436252,0.0393935149006204,0.1795522472706578,0.1259141801990111,0.0051946991986602,Tomatoes,'056,kg/ha,502419.4
2020,1,4,12,0.54,0.89,0.29,7.27,80.85,5.08,Belgium,0.0003323222916199,0.0242197010030012,0.0745118206397779,0.0807275097930486,0.074468975187427,0.0317499970840821,0.1447137515315749,0.1014830706081582,0.0041867724884724,Tomatoes,'056,kg/ha,502419.4
2020,1,4,13,0.41,0.7,0.23,7.38,78.81,4.76,Belgium,0.0002523187769706,0.0183890322430195,0.0565737897450166,0.0612931092873146,0.056541258938602,0.0241064792675438,0.1098752557924921,0.0770519610173053,0.0031788457782846,Tomatoes,'056,kg/ha,502419.4
2020,1,4,14,0.23,0.39,0.15,6.71,81.89,3.76,Belgium,0.000141544679764,0.0103157985753524,0.0317365161984239,0.0343839393562984,0.0317182672094596,0.0135231469061831,0.0616373386153004,0.0432242708145859,0.0017832549487938,Tomatoes,'056,kg/ha,502419.4
2020,1,4,15,0.04,0.06,0.04,5.67,86.62,3.24,Belgium,2.461646604592e-05,0.0017940519261482,0.005519394121465,0.0059798155402258,0.0055162203842538,0.0023518516358579,0.010719537150487,0.0075172644894932,0.0003101312954424,Tomatoes,'056,kg/ha,502419.4
2020,1,4,16,0.0,0.0,0.0,5.04,90.18,3.11,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,4,17,0.0,0.0,0.0,4.53,93.69,3.07,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,4,18,0.0,0.0,0.0,3.95,97.81,2.86,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,4,19,0.0,0.0,0.0,3.54,100.0,2.44,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,4,20,0.0,0.0,0.0,3.22,100.0,2.18,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,4,21,0.0,0.0,0.0,3.06,100.0,2.03,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,4,22,0.0,0.0,0.0,3.07,100.0,1.98,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,4,23,0.0,0.0,0.0,3.15,99.99,1.96,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,5,0,0.0,0.0,0.0,3.19,99.93,1.86,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,5,1,0.0,0.0,0.0,3.17,99.88,1.84,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,5,2,0.0,0.0,0.0,3.03,98.55,2.03,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,5,3,0.0,0.0,0.0,2.85,97.23,2.22,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,5,4,0.0,0.0,0.0,2.68,97.31,2.36,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,5,5,0.0,0.0,0.0,2.45,97.13,2.6,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,5,6,0.0,0.0,0.0,2.27,97.02,2.85,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,5,7,0.0,0.0,0.0,2.14,97.01,3.0,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,5,8,0.1,0.21,0.08,2.21,96.54,3.12,Belgium,6.154116511479999e-05,0.0044851298153706,0.0137984853036625,0.0149495388505645,0.0137905509606346,0.0058796290896448,0.0267988428762175,0.018793161223733,0.000775328238606,Tomatoes,'056,kg/ha,502419.4
2020,1,5,9,0.23,0.56,0.17,2.55,95.79,3.2,Belgium,0.000141544679764,0.0103157985753524,0.0317365161984239,0.0343839393562984,0.0317182672094596,0.0135231469061831,0.0616373386153004,0.0432242708145859,0.0017832549487938,Tomatoes,'056,kg/ha,502419.4
2020,1,5,10,0.26,0.84,0.22,2.99,94.99,3.2,Belgium,0.0001600070292984,0.0116613375199635,0.0358760617895227,0.0388688010114678,0.03585543249765,0.0152870356330765,0.0696769914781657,0.0488622191817058,0.0020158534203756,Tomatoes,'056,kg/ha,502419.4
2020,1,5,11,0.33,0.98,0.28,3.76,93.59,3.24,Belgium,0.0002030858448788,0.014800928390723,0.0455350015020865,0.049333478206863,0.0455088181700943,0.0194027759958279,0.088436181491518,0.0620174320383189,0.0025585831873998,Tomatoes,'056,kg/ha,502419.4
2020,1,5,12,0.25,0.95,0.22,4.94,90.42,3.16,Belgium,0.000153852912787,0.0112128245384265,0.0344962132591564,0.0373738471264114,0.0344763774015866,0.0146990727241121,0.0669971071905439,0.0469829030593325,0.001938320596515,Tomatoes,'056,kg/ha,502419.4
