ADMIN,ISO_A3,lat,lon
Macao S.A.R,MAC,22.22311575453522,113.50931758204966
Hong Kong S.A.R.,HKG,22.398202449354915,114.1136548123643
Chile,CHL,-35.775584489208995,-69.94758355586002
Chad,TCD,15.248994667265043,18.609484795685116
Central African Republic,CAF,6.5617855597440995,20.457967511924245
Cabo Verde,CPV,15.950938296867873,-23.955433329462416
Canada,CAN,58.179068321103074,-94.97068769962438
Cameroon,CMR,5.676874441820713,12.727702680727175
Cambodia,KHM,12.715495258330913,104.89555213110198
Myanmar,MMR,21.087008599341996,96.36303929113646
Burundi,BDI,-3.35907980067216,29.874476301067077
Burkina Faso,BFA,12.263131519210246,-1.75962620935959
Bulgaria,BGR,42.759205036691576,25.208278530750526
Brunei,BRN,4.519611954532265,114.72145423996265
Brazil,BRA,-10.487890939081236,-52.875046241683656
Botswana,BWA,-22.146104370406757,23.795376319798343
Bosnia and Herzegovina,BIH,44.16693289975501,17.772612668547797
Bolivia,BOL,-16.654208663325782,-64.63808119510745
Bhutan,BTN,27.409522163113138,90.40060710964522
Benin,BEN,9.633623595795582,2.3263126260838156
Belize,BLZ,17.197695006809102,-88.7071078571218
Belgium,BEL,50.63477892642492,4.644443674554696
Belarus,BLR,53.4947347959449,28.00943415037301
Barbados,BRB,13.181436948282078,-59.55975482651237
Bangladesh,BGD,23.85417646602819,90.2313017649364
Bahrain,BHR,26.04193248818127,50.54190782611936
The Bahamas,BHS,24.264650202280144,-76.57366706154345
Azerbaijan,AZE,40.278592697191144,47.54350121486683
Austria,AUT,47.57746859702501,14.11230564188931
Australia,AUS,-25.349095574922803,133.75868354358053
Indian Ocean Territories,-99,-10.646882180820198,104.85638716084244
Heard Island and McDonald Islands,HMD,-53.0871774531788,73.52032974376431
Norfolk Island,NFK,-29.05145766578086,167.94920953972368
Ashmore and Cartier Islands,-99,-12.429931583526283,123.58383754300513
Armenia,ARM,40.2840513895269,44.934623603064814
Argentina,ARG,-34.4993107001132,-64.35927663151625
Antigua and Barbuda,ATG,17.277024307013573,-61.794214499505685
Angola,AGO,-12.24753516412105,17.515268459708903
Andorra,AND,42.54224425379389,1.5605257999425013
Algeria,DZA,27.955210933743707,2.621166429961462
Albania,ALB,41.13272460964558,20.049810415258307
Afghanistan,AFG,33.77335250631575,65.9029156248211
Siachen Glacier,-99,35.392197539222806,77.18003902296316
Antarctica,ATA,-76.02226069128037,41.04344239391579
Sint Maarten,SXM,18.050816389746945,-63.05713099924657
Tuvalu,TUV,-8.50345138499752,179.20555875459092
